ARTIST,SONG,MF CODE,TRACK
Al Green,You Ought To Be With Me,SC8755,02
Al Green,Your Heart's In Good Hands,SC8248,08
Al Green And Annie Lennox,Put A Little Love In Your Heart,SFID008,15
Al Jarreau,After All,SGB0051,02
Al Jarreau,Boogie Down,SC8667,06
Al Jarreau,Moonlighting,SFMW834,09
Al Jarreau,Mornin',PS1273,09
Al Jarreau,Since I Fell For You,PS1273,11
Al Jarreau,Teach Me Tonight,PS1273,10
Al Jarreau,Wait For The Magic,SC8244,11
Al Jarreau,We're In This Love Together,SFMW823,11
Al Jolson,After You've Gone,LEG110,07
Al Jolson,April Shower,LEG110,08
Al Jolson,California Here I Come,LEG110,03
Al Jolson,I'm Sitting On Top Of The World,LEG110,04
Al Jolson,Mammy,BRTSPK004,17
Al Jolson,My Mammy,LEG110,06
Al Jolson,Rock A Bye Your Baby,LEG110,01
Al Jolson,Swanee,CB5039-03,08
Al Jolson,Swannee,LEG110,02
Al Jolson,Toot Toot Tootsie,LEG110,05
Al Martino,Daddy's Little Girl,SGB0059,14
Al Martino,Here In My Heart,SF092,03
Al Martino,I Love You Truly,AH8012,12
Al Martino,Mary In The Morning,LEG158,13
Al Martino,More Than The Eyes Can See,LEG158,12
Al Martino,My Foolish Heart,LEG158,11
Al Martino,Spanish Eyes,SGB0059,11
Al Martino,Wanted,LEG158,15
Al Stewart,On The Border,SFMW875,02
Al Stewart,Time Passages,SC8668,04
Al Stewart,Year Of The Cat,SFMW930,06
Al Wilson,Show And Tell,SC7542,09
Al Wilson,Snake,SF133,09
Alabama,Angels Among Us,SC8149,02
Alabama,Are You Sure Hank Done It This Way,CB5145-02,05
Alabama,Between The Two Of Them,SC8236,01
Alabama,Born Country,TT040,10
Alabama,Can't Keep A Good Man Down,SC8786,01
Alabama,Cheap Seats,SC8971,14
Alabama,Christmas In Dixie,SC8184,03
Alabama,Close Enough To Perfect,SC8971,01
Alabama,Closer You Get,SC2026,06
Alabama,Closer You Get The,CBE09-04,12
Alabama,Dancin' Shaggin' On The Boulevard,SC8971,08
Alabama,Dixieland Delight,SC8628,07
Alabama,Down Home,SC8786,04
Alabama,Fallin' Again,SC8971,11
Alabama,Feels So Right,SC8786,03
Alabama,Fire In The Night,CB90001,08
Alabama,Forever's As Far As I'll Go,SC8135,15
Alabama,Forty Hour Week,SC8380,08
Alabama,Forty Hour Week (For A Livin'),SC8786,15
Alabama,Give Me One More Shot,SC8159,07
Alabama,God Must Have Spent A Little More T,SGB0017,01
Alabama,Here We Are,SC8168,12
Alabama,High Cotton,SC8786,05
Alabama,Hometown Honeymoon,SC8175,14
Alabama,How Do You Fall In Love,SC8971,07
Alabama,If I Had You,CB90001,14
Alabama,If You're Gonna Play In Texas,CB90001,07
Alabama,I'm In A Hurry (And Don't Know Why),SC8177,08
Alabama,I'm In A Hurry And I Don't Know Why,PI210,04
Alabama,I'm In The Mood,SC8769,13
Alabama,In Pictures,SC8971,12
Alabama,It Works,SC8239,11
Alabama,Jukebox In My Mind,SC8786,07
Alabama,Katy Brought My Guitar Back Today,SC8301,01
Alabama,Keepin' Up,SC8520,05
Alabama,Lady Down On Love,SC8971,02
Alabama,Love In The First Degree,SC8786,10
Alabama,Maker Said Take Her,SC8971,09
Alabama,Mountain Music,TT044,09
Alabama,My Home's In Alabama,CB90001,01
Alabama,Of Course I'm Alright,SC8409,13
Alabama,Old Flame,SC8561,04
Alabama,On This Side Of The Moon,SC8306,15
Alabama,Once Upon A Lifetime,SC8180,02
Alabama,Pass It On Down,CB90001,15
Alabama,Pictures And Memories,SC8275,14
Alabama,Reckless,SC8130,05
Alabama,Roll On (Eighteen Wheeler),SC8786,09
Alabama,Roll On Eighteen Wheeler,TT045,03
Alabama,Sad Lookin' Moon,SC8971,06
Alabama,Say I,SC8285,04
Alabama,She Ain't Your Ordinary Girl,SC8971,15
Alabama,She And I,CB90001,12
Alabama,She's Got That Look In Her Eyes,SC8444,08
Alabama,Small Stuff,SC8570,11
Alabama,Song Of The South,TT045,11
Alabama,Southern Star,TT045,12
Alabama,T L C A S A P,SC8971,04
Alabama,Take A Little Trip,SC8971,03
Alabama,Take Me Down,SC8412,04
Alabama,Tennessee River,SC8971,10
Alabama,That Feeling,SC8287,11
Alabama,Then Again,SC8215,12
Alabama,There's No Way,SC8971,05
Alabama,Touch Me When We're Dancing,SC8385,08
Alabama,Twentieth Century,SC8596,04
Alabama,We Can't Love Like This Anymore,SC8139,15
Alabama,We Made Love,SC8617,03
Alabama,When It All Goes South,SC8786,08
Alabama,When We Make Love,SC8786,14
Alabama,Why Lady Why,SC8786,12
Alabama,Will You Marry Me,TT037,16
Alabama,Woman He Loves,SC8729,14
Alabama,You've Got The Touch,SC8786,02
Alan Jackson,Between The Devil And Me,SC8409,15
Alan Jackson,Blues Man,SC8602,03
Alan Jackson,Buicks To The Moon,TT072,05
Alan Jackson,Chasin' That Neon Rainbow,SC8200,09
Alan Jackson,Chattahoochee,TT040,12
Alan Jackson,Country Boy,CBE10-09,13
Alan Jackson,Dallas,SC8165,05
Alan Jackson,Don't Rock The Jukebox,SC7524,07
Alan Jackson,Drive (For Daddy Gene),SC8798,02
Alan Jackson,Everything I Love,SC8344,11
Alan Jackson,Gone Country,SC8152,11
Alan Jackson,Gone Crazy,SGB0017,10
Alan Jackson,Good Time,SC9021,03
Alan Jackson,Hard Hat And A Hammer,SFKK47,15
Alan Jackson,Here In The Real World,SC8102,15
Alan Jackson,Home,SC8250,12
Alan Jackson,House With No Curtains,SC8436,08
Alan Jackson,How Great Thou Art,CBE09-30,11
Alan Jackson,I Don't Even Know Your Name,SC8179,08
Alan Jackson,I'd Love You All Over Again,SC8135,01
